Task,AvgDetailedTime
0,73.5
1,60.25
2,63.75
3,63
4,658.75
5,68.25
6,81.25
7,76.5
8,78.75
9,76
10,68.25
11,244.75
12,60.25
13,66.25
14,61
15,60.75
16,46.5
17,50
18,49.5
19,1100.5
20,68.25
21,82.5
22,63.5
23,629.75
24,66
25,90
26,75.25
27,70.5
28,74
29,72.25
30,56.25
31,169.25
GeneratedTokens,4
AvgGenerationTime,4627.25
AvgInferenceTime,4061
AvgTransferTime,564.25
AvgAdditionalTime,1090.5
